        Frequency / GHz                S2,1 (eps_r=5)/abs,dB
----------------------------------------------------------------------
                       2                     -0.13886108
               2.0079999                     -0.14203224
                   2.016                      -0.1454294
               2.0239999                     -0.14896279
               2.0320001                     -0.15253828
                    2.04                     -0.15606017
               2.0480001                     -0.15943723
                   2.056                       -0.162584
               2.0639999                     -0.16542403
                   2.072                     -0.16789505
               2.0799999                     -0.16995004
               2.0880001                     -0.17155837
                   2.096                     -0.17270937
               2.1040001                     -0.17341083
                   2.112                     -0.17368822
               2.1199999                     -0.17358455
                   2.128                     -0.17315925
               2.1359999                     -0.17248338
               2.1440001                      -0.1716399
                   2.152                      -0.1707168
               2.1600001                     -0.16980598
                   2.168                     -0.16899858
               2.1760001                     -0.16838274
                   2.184                     -0.16803799
               2.1919999                     -0.16803296
                     2.2                     -0.16842454
               2.2079999                     -0.16925239
               2.2160001                     -0.17054148
                   2.224                     -0.17229589
               2.2320001                     -0.17450583
                    2.24                     -0.17714075
               2.2479999                     -0.18015643
                   2.256                      -0.1834921
               2.2639999                     -0.18707543
               2.2720001                     -0.19082645
                    2.28                     -0.19465826
               2.2880001                     -0.19848055
                   2.296                     -0.20220676
               2.3039999                     -0.20575175
                   2.312                     -0.20903968
               2.3199999                     -0.21200708
               2.3280001                     -0.21460303
                   2.336                      -0.2167902
               2.3440001                     -0.21855234
                   2.352                     -0.21988816
               2.3599999                     -0.22081452
                   2.368                     -0.22136743
               2.3759999                     -0.22159615
               2.3840001                     -0.22156365
                   2.392                      -0.2213445
               2.4000001                     -0.22102238
                   2.408                      -0.2206842
               2.4159999                     -0.22041653
                   2.424                     -0.22030648
               2.4319999                     -0.22043314
               2.4400001                     -0.22086798
                   2.448                     -0.22166988
               2.4560001                     -0.22288555
                   2.464                     -0.22454231
               2.4719999                     -0.22665439
                    2.48                     -0.22921558
               2.4879999                     -0.23220715
               2.4960001                     -0.23558843
               2.5039999                     -0.23930742
               2.5120001                     -0.24330026
                    2.52                     -0.24748965
               2.5280001                      -0.2517939
                   2.536                     -0.25612717
               2.5439999                     -0.26040251
                   2.552                     -0.26453624
               2.5599999                     -0.26845131
               2.5680001                     -0.27208123
                   2.576                     -0.27537027
               2.5840001                     -0.27827898
                   2.592                     -0.28078305
               2.5999999                     -0.28287534
                   2.608                     -0.28456857
               2.6159999                     -0.28588996
               2.6240001                     -0.28688328
                   2.632                     -0.28760863
               2.6400001                     -0.28813545
                   2.648                     -0.28854414
               2.6559999                      -0.2889204
                   2.664                     -0.28935096
               2.6719999                     -0.28992335
               2.6800001                     -0.29072003
                   2.688                      -0.2918148
               2.6960001                     -0.29327269
                   2.704                      -0.2951438
               2.7119999                     -0.29746398
                    2.72                     -0.30025198
               2.7279999                     -0.30350975
               2.7360001                     -0.30722123
                   2.744                     -0.31135447
               2.7520001                     -0.31586073
                    2.76                     -0.32068028
               2.7679999                     -0.32573779
                   2.776                     -0.33095434
               2.7839999                     -0.33624246
               2.7920001                     -0.34151395
                     2.8                     -0.34668399
               2.8080001                      -0.3516709
                   2.816                     -0.35640275
               2.8239999                      -0.3608205
                   2.832                       -0.364878
               2.8399999                     -0.36854528
                   2.848                     -0.37181126
               2.8559999                     -0.37468139
               2.8640001                      -0.3771812
                   2.872                     -0.37935185
               2.8800001                     -0.38125066
                   2.888                     -0.38294785
               2.8959999                     -0.38452658
                   2.904                      -0.3860734
               2.9119999                     -0.38768247
               2.9200001                     -0.38944677
                   2.928                     -0.39145525
               2.9360001                     -0.39379194
                   2.944                     -0.39652829
               2.9519999                     -0.39972539
                    2.96                     -0.40342727
               2.9679999                      -0.4076613
               2.9760001                      -0.4124373
                   2.984                      -0.4177463
               2.9920001                      -0.4235613
                       3                     -0.42983884
               3.0079999                     -0.43651811
                   3.016                     -0.44352653
               3.0239999                     -0.45078173
               3.0320001                     -0.45819492
                    3.04                     -0.46567213
               3.0480001                     -0.47312202
                   3.056                     -0.48045566
               3.0639999                     -0.48759612
                   3.072                     -0.49447329
               3.0799999                     -0.50103588
               3.0880001                      -0.5072483
                   3.096                     -0.51309426
               3.1040001                     -0.51857729
                   3.112                     -0.52372168
               3.1199999                     -0.52857057
                   3.128                     -0.53318788
               3.1359999                      -0.5376515
               3.1440001                      -0.5420537
                   3.152                     -0.54649712
               3.1600001                     -0.55108987
                   3.168                     -0.55594398
               3.1760001                     -0.56116877
                   3.184                     -0.56686729
               3.1919999                     -0.57313414
                     3.2                     -0.58005104
               3.2079999                     -0.58768221
               3.2160001                     -0.59607534
                   3.224                     -0.60525798
               3.2320001                     -0.61523543
                    3.24                     -0.62599457
               3.2479999                       -0.637501
                   3.256                     -0.64970179
               3.2639999                      -0.6625286
               3.2720001                     -0.67589914
                    3.28                     -0.68972352
               3.2880001                     -0.70390553
                   3.296                     -0.71834731
               3.3039999                     -0.73295733
                   3.312                     -0.74765048
               3.3199999                     -0.76235667
               3.3280001                     -0.77702153
                   3.336                     -0.79161277
               3.3440001                     -0.80611979
                   3.352                     -0.82056055
               3.3599999                     -0.83497715
                   3.368                      -0.8494396
               3.3759999                     -0.86404411
               3.3840001                     -0.87890983
                   3.392                     -0.89417878
               3.4000001                     -0.91000817
                   3.408                     -0.92657047
               3.4159999                     -0.94404759
                   3.424                     -0.96262546
               3.4319999                     -0.98248864
               3.4400001                      -1.0038152
                   3.448                      -1.0267756
               3.4560001                      -1.0515243
                   3.464                      -1.0782009
               3.4719999                      -1.1069234
                    3.48                      -1.1377894
               3.4879999                      -1.1708755
               3.4960001                      -1.2062376
               3.5039999                        -1.24391
               3.5120001                      -1.2839127
                    3.52                      -1.3262514
               3.5280001                      -1.3709268
                   3.536                      -1.4179337
               3.5439999                      -1.4672741
                   3.552                      -1.5189628
               3.5599999                      -1.5730308
               3.5680001                      -1.6295411
                   3.576                      -1.6885904
               3.5840001                      -1.7503205
                   3.592                      -1.8149247
               3.5999999                      -1.8826514
                   3.608                      -1.9538162
               3.6159999                       -2.028801
               3.6240001                      -2.1080629
                   3.632                      -2.1921286
               3.6400001                      -2.2816074
                   3.648                      -2.3771831
               3.6559999                      -2.4796173
                   3.664                      -2.5897478
               3.6719999                       -2.708494
               3.6800001                      -2.8368473
                   3.688                       -2.975878
               3.6960001                      -3.1267343
                   3.704                      -3.2906505
               3.7119999                      -3.4689441
                    3.72                      -3.6630285
               3.7279999                      -3.8744248
               3.7360001                      -4.1047706
                   3.744                      -4.3558458
               3.7520001                      -4.6295937
                    3.76                      -4.9281558
               3.7679999                      -5.2539111
                   3.776                      -5.6095359
               3.7839999                      -5.9980628
               3.7920001                      -6.4229825
                     3.8                       -6.888361
               3.8080001                      -7.3989932
                   3.816                      -7.9606285
               3.8239999                      -8.5802638
                   3.832                      -9.2665664
               3.8399999                       -10.03048
                   3.848                      -10.886119
               3.8559999                      -11.852128
               3.8640001                       -12.95382
                   3.872                      -14.226627
               3.8800001                      -15.721815
                   3.888                       -17.51587
               3.8959999                      -19.723433
                   3.904                      -22.491815
               3.9119999                      -25.754762
               3.9200001                      -27.657154
                   3.928                      -25.577714
               3.9360001                      -22.397453
                   3.944                      -19.746041
               3.9519999                      -17.644324
                    3.96                      -15.945018
               3.9679999                      -14.536672
               3.9760001                      -13.345022
                   3.984                      -12.320138
               3.9920001                      -11.427367
                       4                      -10.641842
               4.0079999                      -9.9451588
               4.0159998                      -9.3233163
               4.0240002                      -8.7654007
               4.0320001                      -8.2627219
                    4.04                      -7.8082217
               4.0479999                       -7.396072
               4.0560002                       -7.021382
               4.0640001                      -6.6799909
                   4.072                      -6.3683111
               4.0799999                      -6.0832192
               4.0879998                      -5.8219691
               4.0960002                      -5.5821195
               4.1040001                       -5.361497
                   4.112                      -5.1581489
               4.1199999                      -4.9703167
               4.1279998                      -4.7964125
               4.1360002                      -4.6350089
               4.1440001                      -4.4848127
                   4.152                       -4.344669
               4.1599998                      -4.2135393
               4.1680002                      -4.0905023
               4.1760001                      -3.9747432
                   4.184                      -3.8655504
               4.1919999                      -3.7623069
               4.1999998                      -3.6644807
               4.2080002                      -3.5716223
               4.2160001                      -3.4833576
                   4.224                       -3.399375
               4.2319999                      -3.3194204
               4.2399998                      -3.2432895
               4.2480001                      -3.1708172
                   4.256                      -3.1018701
               4.2639999                      -3.0363381
               4.2719998                       -2.974131
               4.2800002                      -2.9151661
               4.2880001                      -2.8593632
                   4.296                      -2.8066433
               4.3039999                      -2.7569209
               4.3119998                      -2.7101012
               4.3200002                      -2.6660796
               4.3280001                      -2.6247369
                   4.336                      -2.5859442
               4.3439999                      -2.5495555
               4.3520002                      -2.5154204
               4.3600001                       -2.483372
                   4.368                      -2.4532421
               4.3759999                      -2.4248568
               4.3839998                      -2.3980396
               4.3920002                      -2.3726208
               4.4000001                       -2.348433
                   4.408                      -2.3253199
               4.4159999                      -2.3031385
               4.4239998                      -2.2817606
               4.4320002                      -2.2610729
               4.4400001                       -2.240983
                   4.448                      -2.2214184
               4.4559999                      -2.2023261
               4.4640002                      -2.1836708
               4.4720001                      -2.1654387
                    4.48                      -2.1476312
               4.4879999                       -2.130263
               4.4959998                      -2.1133646
               4.5040002                       -2.096972
               4.5120001                      -2.0811298
                    4.52                      -2.0658841
               4.5279999                      -2.0512819
               4.5359998                      -2.0373665
               4.5440001                      -2.0241776
                   4.552                      -2.0117441
               4.5599999                      -2.0000874
               4.5679998                      -1.9892172
               4.5760002                      -1.9791323
               4.5840001                      -1.9698178
                   4.592                      -1.9612475
               4.5999999                      -1.9533826
               4.6079998                       -1.946177
               4.6160002                      -1.9395739
               4.6240001                      -1.9335087
                   4.632                      -1.9279146
               4.6399999                      -1.9227198
               4.6479998                      -1.9178543
               4.6560001                      -1.9132476
                   4.664                      -1.9088375
               4.6719999                      -1.9045645
               4.6799998                      -1.9003789
               4.6880002                      -1.8962395
               4.6960001                      -1.8921178
                   4.704                      -1.8879941
               4.7119999                      -1.8838614
               4.7199998                      -1.8797223
               4.7280002                      -1.8755907
               4.7360001                      -1.8714896
                   4.744                      -1.8674495
               4.7519999                      -1.8635063
               4.7600002                       -1.859703
               4.7680001                      -1.8560796
                   4.776                      -1.8526821
               4.7839999                      -1.8495499
               4.7919998                      -1.8467224
               4.8000002                      -1.8442322
               4.8080001                      -1.8421052
                   4.816                      -1.8403606
               4.8239999                      -1.8390084
               4.8319998                      -1.8380485
               4.8400002                      -1.8374768
                   4.848                      -1.8372739
               4.8559999                      -1.8374175
               4.8639998                      -1.8378767
               4.8720002                      -1.8386155
               4.8800001                      -1.8395927
                   4.888                      -1.8407645
               4.8959999                      -1.8420865
               4.9039998                      -1.8435146
               4.9120002                      -1.8450076
               4.9200001                      -1.8465263
                   4.928                      -1.8480392
               4.9359999                      -1.8495189
               4.9439998                      -1.8509457
               4.9520001                      -1.8523083
                    4.96                      -1.8536024
               4.9679999                      -1.8548315
               4.9759998                      -1.8560087
               4.9840002                      -1.8571507
               4.9920001                      -1.8582831
                       5                      -1.8594334
               5.0079999                      -1.8606354
               5.0159998                       -1.861922
               5.0240002                      -1.8633297
               5.0320001                      -1.8648918
                    5.04                      -1.8666405
               5.0479999                      -1.8686044
               5.0560002                      -1.8708062
               5.0640001                      -1.8732639
                   5.072                      -1.8759889
               5.0799999                      -1.8789873
               5.0879998                      -1.8822576
               5.0960002                      -1.8857883
               5.1040001                      -1.8895688
                   5.112                      -1.8935762
               5.1199999                      -1.8977863
               5.1279998                      -1.9021691
               5.1360002                      -1.9066945
               5.1440001                      -1.9113307
                   5.152                      -1.9160438
