        Frequency / GHz                S2,1/abs,dB
                   3.744                      -2.3450803
               3.7520001                      -2.3334764
                    3.76                      -2.3228169
               3.7679999                      -2.3131095
                   3.776                      -2.3043612
               3.7839999                      -2.2965736
               3.7920001                      -2.2897463
                     3.8                      -2.2838703
               3.8080001                      -2.2789371
                   3.816                      -2.2749307
               3.8239999                      -2.2718286
                   3.832                      -2.2696066
               3.8399999                      -2.2682363
                   3.848                      -2.2676815
               3.8559999                      -2.2679058
               3.8640001                      -2.2688695
                   3.872                      -2.2705288
               3.8800001                      -2.2728398
                   3.888                      -2.2757562
               3.8959999                      -2.2792328
                   3.904                      -2.2832233
               3.9119999                      -2.2876837
               3.9200001                      -2.2925696
                   3.928                      -2.2978419
               3.9360001                      -2.3034636
                   3.944                      -2.3093993
               3.9519999                      -2.3156189
                    3.96                      -2.3220977
               3.9679999                      -2.3288134
               3.9760001                      -2.3357509
                   3.984                       -2.342897
               3.9920001                      -2.3502452
                       4                      -2.3577948
               4.0079999                      -2.3655461
               4.0159998                      -2.3735069
               4.0240002                      -2.3816871
               4.0320001                      -2.3900999
                    4.04                      -2.3987618
               4.0479999                      -2.4076931
               4.0560002                      -2.4169125
               4.0640001                      -2.4264437
                   4.072                      -2.4363078
               4.0799999                      -2.4465273
               4.0879998                      -2.4571253
               4.0960002                      -2.4681224
               4.1040001                      -2.4795367
                   4.112                      -2.4913873
               4.1199999                      -2.5036885
               4.1279998                      -2.5164542
               4.1360002                      -2.5296913
               4.1440001                      -2.5434069
                   4.152                      -2.5576056
               4.1599998                      -2.5722861
               4.1680002                      -2.5874454
               4.1760001                      -2.6030781
                   4.184                      -2.6191742
               4.1919999                       -2.635722
               4.1999998                      -2.6527071
               4.2080002                      -2.6701132
               4.2160001                      -2.6879244
                   4.224                      -2.7061193
               4.2319999                      -2.7246786
               4.2399998                      -2.7435828
               4.2480001                      -2.7628116
                   4.256                      -2.7823459
               4.2639999                      -2.8021662
               4.2719998                       -2.822256
               4.2800002                      -2.8426004
               4.2880001                      -2.8631854
                   4.296                       -2.884001
               4.3039999                      -2.9050384
               4.3119998                       -2.926292
               4.3200002                      -2.9477599
               4.3280001                      -2.9694399
                   4.336                      -2.9913383
               4.3439999                      -3.0134581
               4.3520002                      -3.0358098
               4.3600001                      -3.0584037
                   4.368                      -3.0812525
               4.3759999                      -3.1043726
               4.3839998                      -3.1277798
               4.3920002                      -3.1514928
               4.4000001                      -3.1755297
                   4.408                      -3.1999092
               4.4159999                       -3.224652
               4.4239998                       -3.249779
               4.4320002                      -3.2753049
               4.4400001                      -3.3012504
                   4.448                       -3.327629
               4.4559999                      -3.3544579
               4.4640002                      -3.3817481
               4.4720001                      -3.4095105
                    4.48                      -3.4377545
               4.4879999                      -3.4664858
               4.4959998                       -3.495706
               4.5040002                      -3.5254186
               4.5120001                      -3.5556213
                    4.52                      -3.5863108
               4.5279999                       -3.617482
               4.5359998                      -3.6491279
               4.5440001                      -3.6812375
                   4.552                      -3.7138007
               4.5599999                      -3.7468062
               4.5679998                      -3.7802403
               4.5760002                      -3.8140908
               4.5840001                      -3.8483436
                   4.592                      -3.8829855
               4.5999999                      -3.9180037
               4.6079998                      -3.9533863
               4.6160002                       -3.989122
               4.6240001                      -4.0252021
                   4.632                      -4.0616174
               4.6399999                      -4.0983612
               4.6479998                      -4.1354324
               4.6560001                      -4.1728254
                   4.664                      -4.2105432
               4.6719999                       -4.248584
               4.6799998                      -4.2869562
               4.6880002                      -4.3256629
               4.6960001                      -4.3647123
                   4.704                      -4.4041165
               4.7119999                      -4.4438845
               4.7199998                      -4.4840294
               4.7280002                      -4.5245649
               4.7360001                      -4.5655044
                   4.744                      -4.6068612
               4.7519999                      -4.6486513
