        Frequency / GHz                S2,1 (eps_r=7)/abs,dB
----------------------------------------------------------------------
                       2                     -0.15470745
               2.0079999                     -0.16086499
                   2.016                     -0.16665237
               2.0239999                     -0.17181433
               2.0320001                     -0.17613694
                    2.04                     -0.17945625
               2.0480001                     -0.18166872
                   2.056                     -0.18273711
               2.0639999                     -0.18269262
                   2.072                      -0.1816327
               2.0799999                     -0.17971275
               2.0880001                     -0.17713701
                   2.096                     -0.17414698
               2.1040001                     -0.17100647
                   2.112                     -0.16798591
               2.1199999                     -0.16534649
                   2.128                     -0.16332583
               2.1359999                     -0.16212308
               2.1440001                     -0.16189238
                   2.152                     -0.16273126
               2.1600001                     -0.16467589
                   2.168                     -0.16770108
               2.1760001                      -0.1717222
                   2.184                      -0.1765975
               2.1919999                     -0.18214196
                     2.2                     -0.18813162
               2.2079999                     -0.19431931
               2.2160001                     -0.20045081
                   2.224                      -0.2062754
               2.2320001                      -0.2115634
                    2.24                     -0.21611873
               2.2479999                     -0.21978798
                   2.256                     -0.22247425
               2.2639999                     -0.22413868
               2.2720001                     -0.22480231
                    2.28                     -0.22454547
               2.2880001                     -0.22350464
                   2.296                      -0.2218614
               2.3039999                      -0.2198306
                   2.312                     -0.21765167
               2.3199999                      -0.2155693
               2.3280001                      -0.2138238
                   2.336                     -0.21263432
               2.3440001                     -0.21219101
                   2.352                     -0.21263788
               2.3599999                     -0.21407193
                   2.368                     -0.21653343
               2.3759999                     -0.22000615
               2.3840001                     -0.22441923
                   2.392                     -0.22964855
               2.4000001                       -0.235526
                   2.408                     -0.24185067
               2.4159999                     -0.24839491
                   2.424                     -0.25492279
               2.4319999                     -0.26120046
               2.4400001                     -0.26701123
                   2.448                     -0.27216836
               2.4560001                     -0.27652342
                   2.464                     -0.27997849
               2.4719999                     -0.28248962
                    2.48                     -0.28407108
               2.4879999                     -0.28479027
               2.4960001                     -0.28477052
               2.5039999                     -0.28417815
               2.5120001                      -0.2832121
                    2.52                     -0.28209866
               2.5280001                     -0.28106947
                   2.536                     -0.28035616
               2.5439999                     -0.28017326
                   2.552                     -0.28070495
               2.5599999                     -0.28209863
               2.5680001                     -0.28445441
                   2.576                     -0.28782076
               2.5840001                     -0.29219064
                   2.592                     -0.29750467
               2.5999999                     -0.30365085
                   2.608                     -0.31047513
               2.6159999                     -0.31778609
               2.6240001                     -0.32536766
                   2.632                     -0.33299073
               2.6400001                     -0.34042879
                   2.648                     -0.34746594
               2.6559999                      -0.3539145
                   2.664                     -0.35962384
               2.6719999                     -0.36449154
               2.6800001                     -0.36846512
                   2.688                      -0.3715502
               2.6960001                     -0.37380768
                   2.704                     -0.37535157
               2.7119999                     -0.37634219
                    2.72                     -0.37697606
               2.7279999                     -0.37747755
               2.7360001                     -0.37808115
                   2.744                     -0.37902289
               2.7520001                     -0.38052363
                    2.76                     -0.38277976
               2.7679999                     -0.38595117
                   2.776                     -0.39015131
               2.7839999                      -0.3954431
               2.7920001                     -0.40183447
                     2.8                     -0.40927594
               2.8080001                     -0.41766816
                   2.816                     -0.42686276
               2.8239999                     -0.43667275
                   2.832                      -0.4468836
               2.8399999                     -0.45726263
                   2.848                     -0.46757524
               2.8559999                     -0.47759835
               2.8640001                     -0.48713223
                   2.872                      -0.4960144
               2.8800001                     -0.50412837
                   2.888                     -0.51141385
               2.8959999                     -0.51786886
                   2.904                     -0.52355118
               2.9119999                      -0.5285788
               2.9200001                     -0.53311911
                   2.928                     -0.53738346
               2.9360001                     -0.54161638
                   2.944                     -0.54608164
               2.9519999                      -0.5510443
                    2.96                     -0.55676388
               2.9679999                     -0.56347391
               2.9760001                     -0.57137438
                   2.984                     -0.58061777
               2.9920001                     -0.59130282
                       3                     -0.60346977
               3.0079999                     -0.61709856
                   3.016                     -0.63210898
               3.0239999                     -0.64836905
               3.0320001                     -0.66569601
                    3.04                     -0.68387653
               3.0480001                     -0.70266915
                   3.056                     -0.72182918
               3.0639999                     -0.74111811
                   3.072                      -0.7603203
               3.0799999                      -0.7792611
               3.0880001                      -0.7978163
                   3.096                     -0.81592682
               3.1040001                     -0.83360408
                   3.112                     -0.85093383
               3.1199999                     -0.86807656
                   3.128                     -0.88526533
               3.1359999                     -0.90279071
               3.1440001                     -0.92099851
                   3.152                     -0.94026823
               3.1600001                     -0.96099997
                   3.168                     -0.98359895
               3.1760001                      -1.0084578
                   3.184                      -1.0359394
               3.1919999                      -1.0663692
                     3.2                      -1.1000159
               3.2079999                      -1.1370906
               3.2160001                      -1.1777394
                   3.224                      -1.2220443
               3.2320001                      -1.2700271
                    3.24                      -1.3216559
               3.2479999                      -1.3768622
                   3.256                      -1.4355518
               3.2639999                      -1.4976288
               3.2720001                      -1.5630168
                    3.28                      -1.6316829
               3.2880001                      -1.7036656
                   3.296                      -1.7790987
               3.3039999                      -1.8582373
                   3.312                      -1.9414771
               3.3199999                      -2.0293767
               3.3280001                      -2.1226687
                   3.336                      -2.2222701
               3.3440001                      -2.3292907
                   3.352                      -2.4450309
               3.3599999                      -2.5709841
                   3.368                      -2.7088298
               3.3759999                      -2.8604381
               3.3840001                      -3.0278608
                   3.392                      -3.2133382
               3.4000001                      -3.4193103
                   3.408                      -3.6484278
               3.4159999                      -3.9035824
                   3.424                      -4.1879481
               3.4319999                      -4.5050391
               3.4400001                      -4.8587891
                   3.448                      -5.2536611
               3.4560001                      -5.6948052
                   3.464                      -6.1882603
               3.4719999                       -6.741243
                    3.48                       -7.362566
               3.4879999                        -8.06322
               3.4960001                      -8.8572553
               3.5039999                      -9.7631226
               3.5120001                      -10.805784
                    3.52                      -12.020198
               3.5280001                      -13.457248
                   3.536                      -15.194137
               3.5439999                      -17.352049
                   3.552                      -20.114519
               3.5599999                      -23.605907
               3.5680001                      -26.391598
                   3.576                      -24.526625
               3.5840001                      -20.983775
                   3.592                      -18.096598
               3.5999999                      -15.863111
                   3.608                      -14.087984
               3.6159999                      -12.635957
               3.6240001                      -11.421029
                   3.632                      -10.387002
               3.6400001                      -9.4955839
                   3.648                      -8.7196122
               3.6559999                       -8.039124
                   3.664                      -7.4389716
               3.6719999                      -6.9073507
               3.6800001                      -6.4348215
                   3.688                      -6.0136745
               3.6960001                      -5.6374807
                   3.704                      -5.3007922
               3.7119999                      -4.9989098
                    3.72                      -4.7277383
               3.7279999                      -4.4836636
               3.7360001                      -4.2634721
                   3.744                      -4.0642933
               3.7520001                      -3.8835564
                    3.76                      -3.7189607
               3.7679999                      -3.5684528
                   3.776                      -3.4302147
               3.7839999                      -3.3026468
               3.7920001                      -3.1843643
                     3.8                      -3.0741812
               3.8080001                      -2.9711044
                   3.816                      -2.8743171
               3.8239999                      -2.7831631
                   3.832                      -2.6971349
               3.8399999                      -2.6158484
                   3.848                      -2.5390257
               3.8559999                      -2.4664758
               3.8640001                      -2.3980663
                   3.872                      -2.3337111
               3.8800001                      -2.2733453
                   3.888                      -2.2169127
               3.8959999                       -2.164349
                   3.904                      -2.1155721
               3.9119999                      -2.0704713
               3.9200001                      -2.0289031
                   3.928                      -1.9906921
               3.9360001                      -1.9556258
                   3.944                       -1.923463
               3.9519999                      -1.8939345
                    3.96                      -1.8667577
               3.9679999                      -1.8416342
               3.9760001                      -1.8182695
                   3.984                      -1.7963777
               3.9920001                      -1.7756892
                       4                      -1.7559622
               4.0079999                      -1.7369887
               4.0159998                      -1.7185982
               4.0240002                      -1.7006666
               4.0320001                      -1.6831079
                    4.04                       -1.665884
               4.0479999                      -1.6489924
               4.0560002                      -1.6324682
               4.0640001                      -1.6163729
                   4.072                      -1.6007911
               4.0799999                       -1.585818
               4.0879998                      -1.5715565
               4.0960002                      -1.5581041
               4.1040001                      -1.5455476
