        Frequency / GHz                S2,1 (eps_r=6)/abs,dB
----------------------------------------------------------------------
                       2                     -0.14001116
               2.0079999                     -0.14427496
                   2.016                     -0.14886615
               2.0239999                     -0.15361809
               2.0320001                     -0.15835691
                    2.04                     -0.16291478
               2.0480001                     -0.16712959
                   2.056                     -0.17086132
               2.0639999                     -0.17399357
                   2.072                     -0.17644254
               2.0799999                      -0.1781579
               2.0880001                     -0.17912779
                   2.096                     -0.17937823
               2.1040001                     -0.17897087
                   2.112                     -0.17799974
               2.1199999                     -0.17658739
                   2.128                     -0.17487685
               2.1359999                     -0.17302682
               2.1440001                     -0.17120101
                   2.152                     -0.16955982
               2.1600001                     -0.16825682
                   2.168                     -0.16742726
               2.1760001                     -0.16718235
                   2.184                     -0.16760548
               2.1919999                     -0.16874797
                     2.2                     -0.17062559
               2.2079999                     -0.17322076
               2.2160001                     -0.17648103
                   2.224                     -0.18032291
               2.2320001                     -0.18463494
                    2.24                     -0.18928737
               2.2479999                     -0.19412988
                   2.256                     -0.19900966
               2.2639999                     -0.20376969
               2.2720001                     -0.20826211
                    2.28                     -0.21235394
               2.2880001                     -0.21593056
                   2.296                     -0.21890874
               2.3039999                     -0.22123171
                   2.312                     -0.22288002
               2.3199999                     -0.22386477
               2.3280001                     -0.22423474
                   2.336                     -0.22406645
               2.3440001                     -0.22346669
                   2.352                     -0.22256169
               2.3599999                     -0.22149227
                   2.368                     -0.22040963
               2.3759999                     -0.21946549
               2.3840001                     -0.21880397
                   2.392                       -0.218556
               2.4000001                     -0.21883271
                   2.408                      -0.2197202
               2.4159999                     -0.22127621
                   2.424                     -0.22352656
               2.4319999                     -0.22646409
               2.4400001                     -0.23004987
                   2.448                     -0.23421566
               2.4560001                     -0.23886473
                   2.464                     -0.24387878
               2.4719999                     -0.24912364
                    2.48                     -0.25445472
               2.4879999                     -0.25972495
               2.4960001                      -0.2647915
               2.5039999                     -0.26952256
               2.5120001                     -0.27380494
                    2.52                     -0.27754943
               2.5280001                     -0.28069475
                   2.536                     -0.28320857
               2.5439999                      -0.2850947
                   2.552                     -0.28638773
               2.5599999                      -0.2871542
               2.5680001                     -0.28748642
                   2.576                     -0.28750173
               2.5840001                      -0.2873315
                   2.592                     -0.28711989
               2.5999999                     -0.28701502
                   2.608                     -0.28715894
               2.6159999                     -0.28768475
               2.6240001                     -0.28870865
                   2.632                     -0.29032332
               2.6400001                     -0.29259478
                   2.648                     -0.29556084
               2.6559999                     -0.29922488
                   2.664                     -0.30356106
               2.6719999                     -0.30851165
               2.6800001                     -0.31399123
                   2.688                     -0.31989214
               2.6960001                     -0.32608638
                   2.704                     -0.33243358
               2.7119999                     -0.33879047
                    2.72                      -0.3450117
               2.7279999                     -0.35096442
               2.7360001                     -0.35652707
                   2.744                     -0.36160352
