        Frequency / GHz                S2,1 (eps_r=4)/abs,dB
               3.7360001                       -1.560563
                   3.744                      -1.6107827
               3.7520001                        -1.66314
                    3.76                      -1.7177596
               3.7679999                      -1.7747956
                   3.776                      -1.8344388
               3.7839999                      -1.8969142
               3.7920001                      -1.9624895
                     3.8                      -2.0314722
               3.8080001                      -2.1042138
                   3.816                      -2.1811087
               3.8239999                      -2.2625977
                   3.832                      -2.3491631
               3.8399999                      -2.4413353
                   3.848                      -2.5396882
               3.8559999                      -2.6448395
               3.8640001                      -2.7574525
                   3.872                      -2.8782353
               3.8800001                      -3.0079401
                   3.888                      -3.1473669
               3.8959999                      -3.2973657
                   3.904                      -3.4588357
               3.9119999                       -3.632736
               3.9200001                      -3.8200862
                   3.928                      -4.0219738
               3.9360001                      -4.2395694
                   3.944                      -4.4741333
               3.9519999                      -4.7270318
                    3.96                      -4.9997585
               3.9679999                      -5.2939576
               3.9760001                      -5.6114498
                   3.984                       -5.954275
               3.9920001                      -6.3247371
                       4                      -6.7254615
               4.0079999                      -7.1594764
               4.0159998                        -7.63031
               4.0240002                      -8.1421223
               4.0320001                       -8.699884
                    4.04                      -9.3096132
               4.0479999                      -9.9787099
               4.0560002                      -10.716423
               4.0640001                      -11.534531
                   4.072                       -12.44835
               4.0799999                      -13.478272
               4.0879998                      -14.652172
               4.0960002                      -16.009262
               4.1040001                      -17.606283
                   4.112                      -19.526547
               4.1199999                      -21.885876
               4.1279998                      -24.773632
               4.1360002                      -27.693361
               4.1440001                       -28.07034
                   4.152                       -25.42411
               4.1599998                      -22.537195
               4.1680002                      -20.168609
               4.1760001                      -18.260289
                   4.184                      -16.692273
               4.1919999                      -15.375548
               4.1999998                      -14.249362
               4.2080002                       -13.27185
               4.2160001                      -12.413359
                   4.224                      -11.652256
               4.2319999                      -10.972324
               4.2399998                      -10.361099
               4.2480001                      -9.8087967
                   4.256                      -9.3075793
               4.2639999                      -8.8510641
               4.2719998                      -8.4339688
               4.2800002                       -8.051857
               4.2880001                      -7.7009638
                   4.296                      -7.3780475
               4.3039999                      -7.0802942
               4.3119998                       -6.805237
               4.3200002                      -6.5506957
               4.3280001                      -6.3147306
                   4.336                      -6.0956037
               4.3439999                      -5.8917548
               4.3520002                      -5.7017725
               4.3600001                      -5.5243825
                   4.368                      -5.3584303
               4.3759999                      -5.2028675
               4.3839998                      -5.0567474
               4.3920002                      -4.9192115
               4.4000001                      -4.7894889
                   4.408                      -4.6668854
               4.4159999                      -4.5507821
               4.4239998                      -4.4406289
               4.4320002                       -4.335938
               4.4400001                      -4.2362814
                   4.448                      -4.1412884
               4.4559999                      -4.0506351
               4.4640002                      -3.9640447
               4.4720001                      -3.8812805
                    4.48                      -3.8021417
               4.4879999                      -3.7264568
               4.4959998                      -3.6540826
               4.5040002                      -3.5848937
               4.5120001                      -3.5187837
                    4.52                      -3.4556579
               4.5279999                       -3.395432
               4.5359998                      -3.3380246
               4.5440001                      -3.2833585
                   4.552                      -3.2313537
               4.5599999                      -3.1819306
               4.5679998                      -3.1350022
               4.5760002                        -3.09048
               4.5840001                      -3.0482648
                   4.592                      -3.0082546
               4.5999999                      -2.9703399
               4.6079998                      -2.9344054
               4.6160002                      -2.9003317
               4.6240001                      -2.8679939
                   4.632                      -2.8372664
               4.6399999                      -2.8080227
               4.6479998                      -2.7801359
               4.6560001                      -2.7534848
                   4.664                      -2.7279485
               4.6719999                      -2.7034157
               4.6799998                      -2.6797813
               4.6880002                      -2.6569498
               4.6960001                      -2.6348356
                   4.704                      -2.6133637
               4.7119999                      -2.5924715
               4.7199998                      -2.5721095
               4.7280002                      -2.5522394
               4.7360001                      -2.5328343
                   4.744                      -2.5138785
               4.7519999                      -2.4953671
               4.7600002                      -2.4773044
               4.7680001                      -2.4597016
                   4.776                      -2.4425778
               4.7839999                      -2.4259556
               4.7919998                       -2.409859
               4.8000002                       -2.394318
               4.8080001                      -2.3793574
                   4.816                      -2.3650034
               4.8239999                       -2.351277
               4.8319998                      -2.3381965
               4.8400002                      -2.3257731
                   4.848                      -2.3140144
               4.8559999                      -2.3029182
               4.8639998                      -2.2924773
               4.8720002                      -2.2826752
               4.8800001                      -2.2734909
                   4.888                      -2.2648961
               4.8959999                      -2.2568569
