#Parameters = {dr=0.5; gap=1; h_cu=0.035; r1=5.08; wr=0.3; x=0.76; y=6; z=6}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
2.0000000000000	-11.332796539536
2.0039999485016	-11.314895424741
2.0079998970032	-11.296910309994
2.0120000839233	-11.278844349804
2.0160000324249	-11.260703662646
2.0199999809265	-11.242492739365
2.0239999294281	-11.224219296758
2.0280001163483	-11.205886333519
2.0320000648499	-11.187500095992
2.0360000133514	-11.169069605925
2.0399999618530	-11.150597157693
2.0439999103546	-11.132092442258
2.0480000972748	-11.113560477925
2.0520000457764	-11.095009118976
2.0559999942780	-11.076443916373
2.0599999427795	-11.057870728468
2.0639998912811	-11.039296691762
2.0680000782013	-11.020729576636
2.0720000267029	-11.002173575030
2.0759999752045	-10.983637779163
2.0799999237061	-10.965127491207
2.0840001106262	-10.946647245435
2.0880000591278	-10.928205944393
2.0920000076294	-10.909807868675
2.0959999561310	-10.891458417071
2.0999999046326	-10.873163563527
2.1040000915527	-10.854929521748
2.1080000400543	-10.836758340198
2.1119999885559	-10.818658860702
2.1159999370575	-10.800635396004
2.1199998855591	-10.782689221510
2.1240000724792	-10.764827018393
2.1280000209808	-10.747050920819
2.1319999694824	-10.729367273383
2.1359999179840	-10.711777846269
2.1400001049042	-10.694282841582
2.1440000534058	-10.676889631893
2.1480000019073	-10.659597924458
2.1519999504089	-10.642409505912
2.1559998989105	-10.625328706125
2.1600000858307	-10.608354247523
2.1640000343323	-10.591489352498
2.1679999828339	-10.574732233862
2.1719999313354	-10.558086299191
2.1760001182556	-10.541550579147
2.1800000667572	-10.525125425914
2.1840000152588	-10.508811413582
2.1879999637604	-10.492606030418
2.1919999122620	-10.476509589704
2.1960000991821	-10.460521459758
2.2000000476837	-10.444638181705
2.2039999961853	-10.428861376230
2.2079999446869	-10.413188553291
2.2119998931885	-10.397614782828
2.2160000801086	-10.382140117787
2.2200000286102	-10.366762528099
2.2239999771118	-10.351477052211
2.2279999256134	-10.336282817390
2.2320001125336	-10.321177647133
2.2360000610352	-10.306155768331
2.2400000095367	-10.291215248387
2.2439999580383	-10.276352875400
2.2479999065399	-10.261564701575
2.2520000934601	-10.246846165163
2.2560000419617	-10.232195986586
2.2599999904633	-10.217609071060
2.2639999389648	-10.203078360190
2.2679998874664	-10.188604328795
2.2720000743866	-10.174180998853
2.2760000228882	-10.159806386387
2.2799999713898	-10.145474726989
2.2839999198914	-10.131181671258
2.2880001068115	-10.116922068721
2.2920000553131	-10.102693649583
2.2960000038147	-10.088493217068
2.2999999523163	-10.074317004370
2.3039999008179	-10.060159048615
2.3080000877380	-10.046015820984
2.3120000362396	-10.031885843767
2.3159999847412	-10.017765407616
2.3199999332428	-10.003648114704
2.3239998817444	-9.9895325248306
2.3280000686646	-9.9754162585231
2.3320000171661	-9.9612945720443
2.3359999656677	-9.9471658038327
2.3399999141693	-9.9330260161391
2.3440001010895	-9.9188732732132
2.3480000495911	-9.9047053776164
2.3519999980927	-9.8905206285905
2.3559999465942	-9.8763153354061
2.3599998950958	-9.8620867276723
2.3640000820160	-9.8478373966243
2.3680000305176	-9.8335606996564
2.3719999790192	-9.8192580810044
2.3759999275208	-9.8049280438488
2.3800001144409	-9.7905692500467
2.3840000629425	-9.7761810627852
2.3880000114441	-9.7617613263815
2.3919999599457	-9.7473116250059
2.3959999084473	-9.7328320380976
2.4000000953674	-9.7183206279947
2.4040000438690	-9.7037776401579
2.4079999923706	-9.6892044651633
2.4119999408722	-9.6745997960505
2.4159998893738	-9.6599680038542
2.4200000762939	-9.6453052575642
2.4240000247955	-9.6306152220860
2.4279999732971	-9.6158974820827
2.4319999217987	-9.6011558988769
2.4360001087189	-9.5863877747408
2.4400000572205	-9.5715980758656
2.4440000057220	-9.5567852050222
2.4479999542236	-9.5419546827370
2.4519999027252	-9.5271054808613
2.4560000896454	-9.5122403373760
2.4600000381470	-9.4973623700116
2.4639999866486	-9.4824722402598
2.4679999351501	-9.4675721905634
2.4719998836517	-9.4526635509248
2.4760000705719	-9.4377511863431
2.4800000190735	-9.4228364406336
2.4839999675751	-9.4079199389220
2.4879999160767	-9.3930051399114
2.4920001029968	-9.3780967772229
2.4960000514984	-9.3631929586710
2.5000000000000	-9.3482987830945
2.5039999485016	-9.3334170332931
2.5079998970032	-9.3185481450419
2.5120000839233	-9.3036963160819
2.5160000324249	-9.2888629734036
2.5199999809265	-9.2740495508923
2.5239999294281	-9.2592591558904
2.5280001163483	-9.2444952328686
2.5320000648499	-9.2297574061570
2.5360000133514	-9.2150502974613
2.5399999618530	-9.2003736573746
2.5439999103546	-9.1857323336059
2.5480000972748	-9.1711248143443
2.5520000457764	-9.1565534111887
2.5559999942780	-9.1420209503686
2.5599999427795	-9.1275303599899
2.5639998912811	-9.1130787659051
2.5680000782013	-9.0986726719316
2.5720000267029	-9.0843090196887
2.5759999752045	-9.0699900251499
2.5799999237061	-9.0557190754486
2.5840001106262	-9.0414951085783
2.5880000591278	-9.0273171016379
2.5920000076294	-9.0131883559573
2.5959999561310	-8.9991106355400
2.5999999046326	-8.9850805428431
2.6040000915527	-8.9710990736221
2.6080000400543	-8.9571687651508
2.6119999885559	-8.9432900028268
2.6159999370575	-8.9294595815928
2.6199998855591	-8.9156770799810
2.6240000724792	-8.9019473596908
2.6280000209808	-8.8882651148388
2.6319999694824	-8.8746310412904
2.6359999179840	-8.8610449820714
2.6400001049042	-8.8475065981894
2.6440000534058	-8.8340135901831
2.6480000019073	-8.8205661789658
2.6519999504089	-8.8071631828366
2.6559998989105	-8.7938044659085
2.6600000858307	-8.7804859584610
2.6640000343323	-8.7672093981851
2.6679999828339	-8.7539728542282
2.6719999313354	-8.7407744917243
2.6760001182556	-8.7276121854822
2.6800000667572	-8.7144849860738
2.6840000152588	-8.7013910592431
2.6879999637604	-8.6883286875378
2.6919999122620	-8.6752990977600
2.6960000991821	-8.6622947277886
2.7000000476837	-8.6493193579957
2.7039999961853	-8.6363689881738
2.7079999446869	-8.6234425758424
2.7119998931885	-8.6105365217909
2.7160000801086	-8.5976498583449
2.7200000286102	-8.5847830217534
2.7239999771118	-8.5719305973218
2.7279999256134	-8.5590935406653
2.7320001125336	-8.5462698949741
2.7360000610352	-8.5334557643155
2.7400000095367	-8.5206515718412
2.7439999580383	-8.5078554517527
2.7479999065399	-8.4950663443632
2.7520000934601	-8.4822804147973
2.7560000419617	-8.4694981023403
2.7599999904633	-8.4567156155134
2.7639999389648	-8.4439337335024
2.7679998874664	-8.4311524424683
2.7720000743866	-8.4183654436369
2.7760000228882	-8.4055756420316
2.7799999713898	-8.3927822649601
2.7839999198914	-8.3799806466409
2.7880001068115	-8.3671728558280
2.7920000553131	-8.3543560385308
2.7960000038147	-8.3415286378366
2.7999999523163	-8.3286922450334
2.8039999008179	-8.3158458920842
2.8080000877380	-8.3029880136659
2.8120000362396	-8.2901179542918
2.8159999847412	-8.2772365559079
2.8199999332428	-8.2643398565013
2.8239998817444	-8.2514321156124
2.8280000686646	-8.2385093470784
2.8320000171661	-8.2255742878012
2.8359999656677	-8.2126250481167
2.8399999141693	-8.1996628781841
2.8440001010895	-8.1866876258794
2.8480000495911	-8.1736972059930
2.8519999980927	-8.1606956152607
2.8559999465942	-8.1476814739626
2.8599998950958	-8.1346530937209
2.8640000820160	-8.1216155536087
2.8680000305176	-8.1085645006306
2.8719999790192	-8.0955034259436
2.8759999275208	-8.0824327288696
2.8800001144409	-8.0693525830419
2.8840000629425	-8.0562644023059
2.8880000114441	-8.0431691913789
2.8919999599457	-8.0300667800375
2.8959999084473	-8.0169575100628
2.9000000953674	-8.0038441905781
2.9040000438690	-7.9907276010785
2.9079999923706	-7.9776080152922
2.9119999408722	-7.9644857403248
2.9159998893738	-7.9513637285391
2.9200000762939	-7.9382421193834
2.9240000247955	-7.9251217686505
2.9279999732971	-7.9120040645155
2.9319999217987	-7.8988896638801
2.9360001087189	-7.8857823879234
2.9400000572205	-7.8726788318660
2.9440000057220	-7.8595850019370
2.9479999542236	-7.8464977466211
2.9519999027252	-7.8334205442458
2.9560000896454	-7.8203537280919
2.9600000381470	-7.8072982141957
2.9639999866486	-7.7942568045596
2.9679999351501	-7.7812272610373
2.9719998836517	-7.7682141901861
2.9760000705719	-7.7552163032427
2.9800000190735	-7.7422343645184
2.9839999675751	-7.7292718963867
2.9879999160767	-7.7163263959979
2.9920001029968	-7.7033988869360
2.9960000514984	-7.6904931609612
3.0000000000000	-7.6776078509156
3.0039999485016	-7.6647417223541
3.0079998970032	-7.6518996046773
3.0120000839233	-7.6390775015997
3.0160000324249	-7.6262807231336
3.0199999809265	-7.6135048256344
3.0239999294281	-7.6007542523040
3.0280001163483	-7.5880261159802
3.0320000648499	-7.5753218696256
3.0360000133514	-7.5626425475782
3.0399999618530	-7.5499870457070
3.0439999103546	-7.5373565264029
3.0480000972748	-7.5247497405230
3.0520000457764	-7.5121669612954
3.0559999942780	-7.4996090299540
3.0599999427795	-7.4870738198425
3.0639998912811	-7.4745629623258
3.0680000782013	-7.4620748150277
3.0720000267029	-7.4496098965078
3.0759999752045	-7.4371655483676
3.0799999237061	-7.4247454829569
3.0840001106262	-7.4123459178211
3.0880000591278	-7.3999666569011
3.0920000076294	-7.3876077757118
3.0959999561310	-7.3752675531859
3.0999999046326	-7.3629465277842
3.1040000915527	-7.3506433206710
3.1080000400543	-7.3383572187439
3.1119999885559	-7.3260883397316
3.1159999370575	-7.3138331701352
3.1199998855591	-7.3015915604253
3.1240000724792	-7.2893656695882
3.1280000209808	-7.2771509145357
3.1319999694824	-7.2649475211574
3.1359999179840	-7.2527550718486
3.1400001049042	-7.2405715709917
3.1440000534058	-7.2283956801945
3.1480000019073	-7.2162292468816
3.1519999504089	-7.2040671092209
3.1559998989105	-7.1919120283580
3.1600000858307	-7.1797590836834
3.1640000343323	-7.1676103230400
3.1679999828339	-7.1554624756489
3.1719999313354	-7.1433165816248
3.1760001182556	-7.1311705513830
3.1800000667572	-7.1190229260752
3.1840000152588	-7.1068735364976
3.1879999637604	-7.0947214350857
3.1919999122620	-7.0825663179268
3.1960000991821	-7.0704047560557
3.2000000476837	-7.0582384435353
3.2039999961853	-7.0460645807117
3.2079999446869	-7.0338844375680
3.2119998931885	-7.0216950065276
3.2160000801086	-7.0094968096730
3.2200000286102	-6.9972897140082
3.2239999771118	-6.9850720784609
3.2279999256134	-6.9728423922735
3.2320001125336	-6.9606026168236
3.2360000610352	-6.9483495158703
3.2400000095367	-6.9360848087268
3.2439999580383	-6.9238070689552
3.2479999065399	-6.9115146064328
3.2520000934601	-6.8992100200080
3.2560000419617	-6.8868908779809
3.2599999904633	-6.8745574627527
3.2639999389648	-6.8622102525563
3.2679998874664	-6.8498467152198
3.2720000743866	-6.8374706002090
3.2760000228882	-6.8250791455143
3.2799999713898	-6.8126724838599
3.2839999198914	-6.8002514512035
3.2880001068115	-6.7878157547082
3.2920000553131	-6.7753651771372
3.2960000038147	-6.7629002656481
3.2999999523163	-6.7504218360564
3.3039999008179	-6.7379304997357
3.3080000877380	-6.7254249066716
3.3120000362396	-6.7129057047117
3.3159999847412	-6.7003751026663
3.3199999332428	-6.6878312197843
3.3239998817444	-6.6752759568086
3.3280000686646	-6.6627099253098
3.3320000171661	-6.6501329026117
3.3359999656677	-6.6375453734462
3.3399999141693	-6.6249481180072
3.3440001010895	-6.6123414420859
3.3480000495911	-6.5997274548560
3.3519999980927	-6.5871046523970
3.3559999465942	-6.5744745061265
3.3599998950958	-6.5618382581096
3.3640000820160	-6.5491970376599
3.3680000305176	-6.5365507064699
3.3719999790192	-6.5238992048150
3.3759999275208	-6.5112440958618
3.3800001144409	-6.4985849551257
3.3840000629425	-6.4859236216913
3.3880000114441	-6.4732606283453
3.3919999599457	-6.4605967825398
3.3959999084473	-6.4479321053718
3.4000000953674	-6.4352668368768
3.4040000438690	-6.4226032797369
3.4079999923706	-6.4099411173877
3.4119999408722	-6.3972800666820
3.4159998893738	-6.3846216258436
3.4200000762939	-6.3719664013317
3.4240000247955	-6.3593135133694
3.4279999732971	-6.3466656681486
3.4319999217987	-6.3340215574693
3.4360001087189	-6.3213824253164
3.4400000572205	-6.3087484116734
3.4440000057220	-6.2961191997597
3.4479999542236	-6.2834961991999
3.4519999027252	-6.2708785415320
3.4560000896454	-6.2582676507842
3.4600000381470	-6.2456624262292
3.4639999866486	-6.2330642307684
3.4679999351501	-6.2204720719204
3.4719998836517	-6.2078866664560
3.4760000705719	-6.1953078805726
3.4800000190735	-6.1827352449107
3.4839999675751	-6.1701693466642
3.4879999160767	-6.1576091440222
3.4920001029968	-6.1450572809587
3.4960000514984	-6.1325084941732
3.5000000000000	-6.1199671908351
3.5039999485016	-6.1074302008724
3.5079998970032	-6.0948995485844
3.5120000839233	-6.0823723417460
3.5160000324249	-6.0698499461484
3.5199999809265	-6.0573307648856
3.5239999294281	-6.0448156135831
3.5280001163483	-6.0323024561380
3.5320000648499	-6.0197920691718
3.5360000133514	-6.0072829949199
3.5399999618530	-5.9947745435549
3.5439999103546	-5.9822675498940
3.5480000972748	-5.9697597348373
3.5520000457764	-5.9572502310271
3.5559999942780	-5.9447390302313
3.5599999427795	-5.9322259958584
3.5639998912811	-5.9197072594525
3.5680000782013	-5.9071878618300
3.5720000267029	-5.8946602037745
3.5759999752045	-5.8821289909796
3.5799999237061	-5.8695902645972
3.5840001106262	-5.8570430060954
3.5880000591278	-5.8444883340372
3.5920000076294	-5.8319252548315
3.5959999561310	-5.8193507634335
3.5999999046326	-5.8067654192319
3.6040000915527	-5.7941697327687
3.6080000400543	-5.7815602157735
3.6119999885559	-5.7689379405994
3.6159999370575	-5.7562995955903
3.6199998855591	-5.7436465345488
3.6240000724792	-5.7309789776707
3.6280000209808	-5.7182923774965
3.6319999694824	-5.7055904262051
3.6359999179840	-5.6928679676535
3.6400001049042	-5.6801270550167
3.6440000534058	-5.6673667150440
3.6480000019073	-5.6545866893685
3.6519999504089	-5.6417833381052
3.6559998989105	-5.6289589810884
3.6600000858307	-5.6161120963479
3.6640000343323	-5.6032419016865
3.6679999828339	-5.5903479442710
3.6719999313354	-5.5774302989067
3.6760001182556	-5.5644873235245
3.6800000667572	-5.5515213200898
3.6840000152588	-5.5385274365629
3.6879999637604	-5.5255089051616
3.6919999122620	-5.5124638359635
3.6960000991821	-5.4993914042600
3.7000000476837	-5.4862933045163
3.7039999961853	-5.4731679202348
3.7079999446869	-5.4600153877341
3.7119998931885	-5.4468338000339
3.7160000801086	-5.4336278421684
3.7200000286102	-5.4203917786448
3.7239999771118	-5.4071299460758
3.7279999256134	-5.3938387595554
3.7320001125336	-5.3805208425098
3.7360000610352	-5.3671750377297
3.7400000095367	-5.3538013857336
3.7439999580383	-5.3404014589334
3.7479999065399	-5.3269761033515
3.7520000934601	-5.3135222346121
3.7560000419617	-5.3000422613581
3.7599999904633	-5.2865342849815
3.7639999389648	-5.2730008950880
3.7679998874664	-5.2594410910240
3.7720000743866	-5.2458581028866
3.7760000228882	-5.2322486025011
3.7799999713898	-5.2186138878663
3.7839999198914	-5.2049555742037
3.7880001068115	-5.1912725218815
3.7920000553131	-5.1775669000584
3.7960000038147	-5.1638387175979
3.7999999523163	-5.1500874113507
3.8039999008179	-5.1363130499456
3.8080000877380	-5.1225182644220
3.8120000362396	-5.1087019216943
3.8159999847412	-5.0948649296228
3.8199999332428	-5.0810062585751
3.8239998817444	-5.0671301108033
3.8280000686646	-5.0532336301892
3.8320000171661	-5.0393177651436
3.8359999656677	-5.0253831590298
3.8399999141693	-5.0114307049811
3.8440001010895	-4.9974619390638
3.8480000495911	-4.9834735417755
3.8519999980927	-4.9694694823357
3.8559999465942	-4.9554491973427
3.8599998950958	-4.9414110080221
3.8640000820160	-4.9273588795755
3.8680000305176	-4.9132904378620
3.8719999790192	-4.8992068947181
3.8759999275208	-4.8851066685837
3.8800001144409	-4.8709934222041
3.8840000629425	-4.8568639662578
3.8880000114441	-4.8427211919888
3.8919999599457	-4.8285644231625
3.8959999084473	-4.8143920466743
3.9000000953674	-4.8002052040052
3.9040000438690	-4.7860049742921
3.9079999923706	-4.7717893833287
