        Frequency / GHz                S2,1/abs,dB
               3.7360001                     -0.86714079
                   3.744                      -0.8795847
               3.7520001                     -0.89267002
                    3.76                     -0.90645917
               3.7679999                     -0.92101173
                   3.776                     -0.93638346
               3.7839999                     -0.95262843
               3.7920001                     -0.96979627
                     3.8                     -0.98792824
               3.8080001                      -1.0070668
                   3.816                      -1.0272451
               3.8239999                      -1.0484913
                   3.832                      -1.0708323
               3.8399999                      -1.0942858
                   3.848                      -1.1188713
               3.8559999                      -1.1445999
               3.8640001                      -1.1714823
                   3.872                      -1.1995261
               3.8800001                      -1.2287421
                   3.888                      -1.2591373
               3.8959999                      -1.2907213
                   3.904                      -1.3235095
               3.9119999                       -1.357517
               3.9200001                      -1.3927692
                   3.928                      -1.4292951
               3.9360001                      -1.4671352
                   3.944                      -1.5063364
               3.9519999                      -1.5469597
                    3.96                      -1.5890773
               3.9679999                      -1.6327743
               3.9760001                      -1.6781518
                   3.984                      -1.7253242
               3.9920001                      -1.7744253
                       4                      -1.8256019
               4.0079999                      -1.8790214
               4.0159998                      -1.9348659
               4.0240002                      -1.9933376
               4.0320001                      -2.0546554
                    4.04                      -2.1190578
               4.0479999                      -2.1867973
               4.0560002                      -2.2581487
               4.0640001                      -2.3333998
                   4.072                      -2.4128601
               4.0799999                      -2.4968522
               4.0879998                      -2.5857167
               4.0960002                      -2.6798127
               4.1040001                      -2.7795141
                   4.112                      -2.8852128
               4.1199999                      -2.9973185
               4.1279998                      -3.1162576
               4.1360002                      -3.2424778
               4.1440001                       -3.376444
                   4.152                      -3.5186453
               4.1599998                      -3.6695928
               4.1680002                       -3.829823
               4.1760001                      -3.9999045
                   4.184                       -4.180434
               4.1919999                      -4.3720473
               4.1999998                      -4.5754203
               4.2080002                       -4.791277
               4.2160001                      -5.0203954
                   4.224                      -5.2636155
               4.2319999                      -5.5218522
               4.2399998                      -5.7961048
               4.2480001                      -6.0874697
                   4.256                      -6.3971623
               4.2639999                      -6.7265339
               4.2719998                      -7.0771018
               4.2800002                      -7.4505778
               4.2880001                      -7.8489086
                   4.296                      -8.2743264
               4.3039999                      -8.7294135
               4.3119998                      -9.2171818
               4.3200002                      -9.7411753
               4.3280001                      -10.305614
                   4.336                      -10.915575
               4.3439999                      -11.577245
               4.3520002                       -12.29826
               4.3600001                      -13.088202
                   4.368                      -13.959277
               4.3759999                      -14.927338
               4.3839998                      -16.013369
               4.3920002                      -17.245711
               4.4000001                      -18.663241
                   4.408                      -20.319266
               4.4159999                      -22.282372
               4.4239998                      -24.610785
               4.4320002                      -27.175644
               4.4400001                      -28.977673
                   4.448                      -28.289796
               4.4559999                      -25.952614
               4.4640002                      -23.561781
               4.4720001                      -21.524481
                    4.48                      -19.826226
               4.4879999                      -18.395967
               4.4959998                       -17.17275
               4.5040002                      -16.111396
               4.5120001                      -15.179044
                    4.52                      -14.351524
               4.5279999                      -13.610716
               4.5359998                      -12.942763
               4.5440001                      -12.336849
                   4.552                      -11.784392
               4.5599999                      -11.278466
               4.5679998                      -10.813397
               4.5760002                      -10.384478
               4.5840001                      -9.9877556
                   4.592                      -9.6198749
               4.5999999                      -9.2779565
               4.6079998                      -8.9595108
               4.6160002                      -8.6623631
               4.6240001                      -8.3846034
                   4.632                      -8.1245416
               4.6399999                      -7.8806721
               4.6479998                      -7.6516455
               4.6560001                      -7.4362496
                   4.664                      -7.2333898
               4.6719999                      -7.0420713
               4.6799998                      -6.8613922
               4.6880002                      -6.6905275
               4.6960001                      -6.5287269
                   4.704                      -6.3753039
               4.7119999                       -6.229629
               4.7199998                      -6.0911289
               4.7280002                      -5.9592754
               4.7360001                      -5.8335922
                   4.744                      -5.7136376
               4.7519999                      -5.5990148
               4.7600002                       -5.489358
               4.7680001                      -5.3843409
                   4.776                      -5.2836631
               4.7839999                      -5.1870555
               4.7919998                       -5.094276
               4.8000002                      -5.0051058
               4.8080001                      -4.9193494
                   4.816                      -4.8368306
               4.8239999                      -4.7573936
               4.8319998                      -4.6808984
               4.8400002                      -4.6072188
                   4.848                      -4.5362432
               4.8559999                      -4.4678686
               4.8639998                      -4.4020032
               4.8720002                      -4.3385638
               4.8800001                      -4.2774728
                   4.888                      -4.2186573
               4.8959999                      -4.1620487
               4.9039998                      -4.1075826
               4.9120002                       -4.055194
               4.9200001                      -4.0048216
                   4.928                      -3.9564022
               4.9359999                      -3.9098742
               4.9439998                      -3.8651745
               4.9520001                      -3.8222385
                    4.96                      -3.7810015
               4.9679999                      -3.7413965
