        Frequency / GHz                S2,1 (eps_r=2)/abs,dB
----------------------------------------------------------------------
                       2                     -0.13839055
               2.0079999                     -0.14142464
                   2.016                     -0.14437529
               2.0239999                     -0.14720161
               2.0320001                     -0.14987034
                    2.04                     -0.15234713
               2.0480001                     -0.15460459
                   2.056                     -0.15662248
               2.0639999                     -0.15838072
                   2.072                     -0.15986873
               2.0799999                     -0.16108105
               2.0880001                     -0.16201804
                   2.096                     -0.16268512
               2.1040001                     -0.16309295
                   2.112                     -0.16325948
               2.1199999                     -0.16320525
                   2.128                     -0.16295552
               2.1359999                     -0.16254188
               2.1440001                     -0.16199461
                   2.152                     -0.16134922
               2.1600001                     -0.16064222
                   2.168                     -0.15991207
               2.1760001                     -0.15919516
                   2.184                     -0.15852882
               2.1919999                     -0.15794809
                     2.2                      -0.1574858
               2.2079999                     -0.15717415
               2.2160001                     -0.15704088
                   2.224                     -0.15710807
               2.2320001                     -0.15739584
                    2.24                     -0.15791952
               2.2479999                     -0.15868913
                   2.256                     -0.15971069
               2.2639999                     -0.16098411
               2.2720001                     -0.16250587
                    2.28                     -0.16426634
               2.2880001                     -0.16625198
                   2.296                     -0.16844622
               2.3039999                     -0.17082579
                   2.312                      -0.1733685
               2.3199999                     -0.17604412
               2.3280001                     -0.17882498
                   2.336                     -0.18167934
               2.3440001                     -0.18457519
                   2.352                     -0.18747942
               2.3599999                     -0.19035987
                   2.368                     -0.19318555
               2.3759999                     -0.19592659
               2.3840001                     -0.19855654
                   2.392                     -0.20104936
               2.4000001                     -0.20338459
                   2.408                     -0.20554346
               2.4159999                     -0.20751138
                   2.424                     -0.20927928
               2.4319999                     -0.21084144
               2.4400001                     -0.21219708
                   2.448                     -0.21334806
               2.4560001                     -0.21430233
                   2.464                     -0.21507177
               2.4719999                     -0.21567009
                    2.48                     -0.21611747
               2.4879999                     -0.21643471
               2.4960001                     -0.21664634
               2.5039999                      -0.2167784
               2.5120001                     -0.21685736
                    2.52                     -0.21691336
               2.5280001                     -0.21697503
                   2.536                      -0.2170695
               2.5439999                     -0.21722606
                   2.552                     -0.21747167
               2.5599999                     -0.21782896
               2.5680001                     -0.21832133
                   2.576                      -0.2189689
               2.5840001                     -0.21978629
                   2.592                     -0.22078828
               2.5999999                     -0.22198338
                   2.608                     -0.22337733
               2.6159999                     -0.22497311
               2.6240001                     -0.22676675
                   2.632                     -0.22875408
               2.6400001                     -0.23092519
                   2.648                     -0.23326808
               2.6559999                     -0.23576583
                   2.664                      -0.2384009
               2.6719999                      -0.2411514
               2.6800001                     -0.24399595
                   2.688                     -0.24690872
               2.6960001                     -0.24986482
                   2.704                     -0.25283865
               2.7119999                     -0.25580356
                    2.72                     -0.25873616
               2.7279999                     -0.26161012
               2.7360001                     -0.26440355
                   2.744                      -0.2670967
               2.7520001                     -0.26966977
                    2.76                     -0.27210782
               2.7679999                     -0.27439894
                   2.776                     -0.27653221
               2.7839999                     -0.27850256
               2.7920001                     -0.28030784
                     2.8                     -0.28194844
               2.8080001                     -0.28342965
                   2.816                     -0.28475915
               2.8239999                     -0.28594838
                   2.832                     -0.28701123
               2.8399999                     -0.28796399
                   2.848                      -0.2888263
               2.8559999                     -0.28961874
               2.8640001                     -0.29036367
                   2.872                     -0.29108437
               2.8800001                     -0.29180485
                   2.888                     -0.29254829
               2.8959999                     -0.29333948
                   2.904                     -0.29419934
               2.9119999                     -0.29515035
               2.9200001                     -0.29621163
                   2.928                      -0.2974006
               2.9360001                      -0.2987326
                   2.944                     -0.30021942
               2.9519999                     -0.30187027
                    2.96                     -0.30369238
               2.9679999                     -0.30568812
               2.9760001                     -0.30785717
                   2.984                      -0.3101976
               2.9920001                     -0.31270193
                       3                      -0.3153606
               3.0079999                     -0.31816197
                   3.016                     -0.32109129
               3.0239999                     -0.32413112
               3.0320001                     -0.32726397
                    3.04                     -0.33046856
               3.0480001                     -0.33372415
                   3.056                     -0.33700827
               3.0639999                     -0.34029906
                   3.072                     -0.34357505
               3.0799999                     -0.34681442
               3.0880001                     -0.34999725
                   3.096                     -0.35310474
               3.1040001                     -0.35611948
                   3.112                     -0.35902807
               3.1199999                     -0.36181742
                   3.128                     -0.36447888
               3.1359999                     -0.36700495
               3.1440001                     -0.36939332
                   3.152                     -0.37164336
               3.1600001                     -0.37375681
                   3.168                     -0.37574012
               3.1760001                     -0.37760205
                   3.184                     -0.37935539
               3.1919999                     -0.38101192
                     3.2                     -0.38258799
               3.2079999                     -0.38410346
               3.2160001                     -0.38557641
                   3.224                      -0.3870277
               3.2320001                     -0.38847957
                    3.24                     -0.38995366
               3.2479999                       -0.391471
                   3.256                     -0.39305328
               3.2639999                      -0.3947213
               3.2720001                      -0.3964938
                    3.28                      -0.3983876
               3.2880001                     -0.40041829
                   3.296                     -0.40259974
               3.3039999                     -0.40494092
                   3.312                     -0.40745132
               3.3199999                     -0.41013436
               3.3280001                      -0.4129941
                   3.336                     -0.41602778
               3.3440001                     -0.41923283
                   3.352                     -0.42260255
               3.3599999                     -0.42612742
                   3.368                     -0.42979692
               3.3759999                     -0.43359492
               3.3840001                     -0.43750752
                   3.392                     -0.44151662
               3.4000001                     -0.44560396
                   3.408                      -0.4497504
               3.4159999                     -0.45393438
                   3.424                     -0.45813693
               3.4319999                     -0.46233845
               3.4400001                     -0.46651977
                   3.448                     -0.47066353
               3.4560001                     -0.47475336
                   3.464                     -0.47877421
               3.4719999                     -0.48271503
                    3.48                     -0.48656595
               3.4879999                     -0.49032091
               3.4960001                     -0.49397477
               3.5039999                     -0.49752661
               3.5120001                     -0.50097953
                    3.52                      -0.5043373
               3.5280001                     -0.50760871
                   3.536                     -0.51080438
               3.5439999                     -0.51393828
                   3.552                     -0.51702534
               3.5599999                     -0.52008497
               3.5680001                     -0.52313645
                   3.576                     -0.52620131
               3.5840001                     -0.52930186
                   3.592                     -0.53246227
               3.5999999                       -0.535706
                   3.608                      -0.5390554
               3.6159999                     -0.54253503
               3.6240001                     -0.54616633
                   3.632                     -0.54997039
               3.6400001                      -0.5539657
                   3.648                     -0.55817038
               3.6559999                     -0.56259901
                   3.664                     -0.56726405
               3.6719999                     -0.57217557
               3.6800001                     -0.57734019
                   3.688                     -0.58276352
               3.6960001                     -0.58844579
                   3.704                     -0.59438575
               3.7119999                     -0.60058009
                    3.72                     -0.60702116
               3.7279999                     -0.61369958
               3.7360001                     -0.62060628
                   3.744                     -0.62772511
               3.7520001                     -0.63504529
                    3.76                     -0.64254785
               3.7679999                     -0.65021862
                   3.776                     -0.65804132
               3.7839999                     -0.66599885
               3.7920001                     -0.67407581
                     3.8                     -0.68225764
               3.8080001                     -0.69053161
                   3.816                     -0.69888648
               3.8239999                     -0.70731395
                   3.832                     -0.71580778
               3.8399999                     -0.72436498
                   3.848                     -0.73298577
               3.8559999                     -0.74167361
               3.8640001                     -0.75043592
                   3.872                     -0.75928396
               3.8800001                     -0.76823327
                   3.888                     -0.77729984
               3.8959999                     -0.78650735
                   3.904                     -0.79588185
               3.9119999                        -0.80545
               3.9200001                     -0.81524506
                   3.928                     -0.82530017
               3.9360001                     -0.83565286
                   3.944                      -0.8463397
               3.9519999                     -0.85740354
                    3.96                     -0.86888219
               3.9679999                     -0.88081931
               3.9760001                     -0.89325618
                   3.984                     -0.90623443
               3.9920001                      -0.9197955
                       4                     -0.93397817
               4.0079999                     -0.94882321
               4.0159998                     -0.96436604
               4.0240002                     -0.98064371
               4.0320001                     -0.99768988
                    4.04                      -1.0155346
               4.0479999                      -1.0342078
               4.0560002                      -1.0537369
               4.0640001                       -1.074148
                   4.072                      -1.0954619
               4.0799999                      -1.1177032
               4.0879998                      -1.1408904
               4.0960002                      -1.1650431
               4.1040001                      -1.1901809
                   4.112                      -1.2163215
               4.1199999                      -1.2434849
               4.1279998                      -1.2716913
               4.1360002                      -1.3009628
               4.1440001                      -1.3313244
                   4.152                      -1.3628027
               4.1599998                      -1.3954293
               4.1680002                      -1.4292411
               4.1760001                       -1.464278
                   4.184                      -1.5005882
               4.1919999                       -1.538226
               4.1999998                      -1.5772515
               4.2080002                      -1.6177341
               4.2160001                      -1.6597517
                   4.224                       -1.703392
               4.2319999                      -1.7487487
               4.2399998                      -1.7959301
               4.2480001                      -1.8450502
                   4.256                       -1.896238
               4.2639999                      -1.9496304
               4.2719998                      -2.0053752
               4.2800002                      -2.0636318
               4.2880001                      -2.1245704
                   4.296                      -2.1883729
               4.3039999                      -2.2552302
               4.3119998                      -2.3253477
               4.3200002                      -2.3989388
               4.3280001                      -2.4762274
                   4.336                      -2.5574506
               4.3439999                      -2.6428552
               4.3520002                      -2.7326991
               4.3600001                      -2.8272497
                   4.368                      -2.9267878
               4.3759999                      -3.0316051
               4.3839998                      -3.1420048
               4.3920002                      -3.2583019
               4.4000001                      -3.3808265
                   4.408                        -3.50992
               4.4159999                      -3.6459401
               4.4239998                      -3.7892599
               4.4320002                      -3.9402716
               4.4400001                      -4.0993861
                   4.448                      -4.2670333
               4.4559999                      -4.4436711
               4.4640002                      -4.6297827
               4.4720001                      -4.8258788
                    4.48                      -5.0325078
               4.4879999                      -5.2502553
               4.4959998                      -5.4797501
               4.5040002                      -5.7216732
               4.5120001                      -5.9767616
                    4.52                      -6.2458211
               4.5279999                      -6.5297329
               4.5359998                       -6.829468
               4.5440001                      -7.1461036
                   4.552                      -7.4808382
               4.5599999                      -7.8350151
               4.5679998                      -8.2101505
               4.5760002                      -8.6079659
               4.5840001                      -9.0304271
                   4.592                      -9.4798016
               4.5999999                      -9.9587212
               4.6079998                      -10.470267
               4.6160002                      -11.018082
               4.6240001                      -11.606516
                   4.632                      -12.240823
               4.6399999                      -12.927426
               4.6479998                      -13.674283
               4.6560001                      -14.491411
                   4.664                      -15.391623
               4.6719999                      -16.391617
               4.6799998                      -17.513581
               4.6880002                      -18.787563
               4.6960001                      -20.254795
                   4.704                      -21.971364
               4.7119999                      -24.006529
               4.7199998                      -26.402097
               4.7280002                      -28.925788
               4.7360001                      -30.314171
                   4.744                      -29.141664
               4.7519999                      -26.730076
               4.7600002                      -24.413111
               4.7680001                      -22.454886
                   4.776                       -20.81852
               4.7839999                      -19.434386
               4.7919998                      -18.245423
               4.8000002                      -17.209572
