        Frequency / GHz                S2,1 (eps_r=1)/abs,dB
----------------------------------------------------------------------
                       2                     -0.11851602
               2.0079999                     -0.11972776
                   2.016                     -0.12113915
               2.0239999                     -0.12274044
               2.0320001                     -0.12452118
                    2.04                     -0.12646718
               2.0480001                     -0.12856394
                   2.056                     -0.13079446
               2.0639999                      -0.1331418
                   2.072                     -0.13558687
               2.0799999                     -0.13810977
               2.0880001                     -0.14068972
                   2.096                      -0.1433062
               2.1040001                       -0.145939
                   2.112                     -0.14856617
               2.1199999                     -0.15116857
                   2.128                     -0.15372705
               2.1359999                     -0.15622176
               2.1440001                     -0.15863625
                   2.152                     -0.16095326
               2.1600001                     -0.16315784
                   2.168                     -0.16523887
               2.1760001                     -0.16718349
                   2.184                     -0.16898286
               2.1919999                     -0.17062985
                     2.2                     -0.17211817
               2.2079999                     -0.17344682
               2.2160001                     -0.17461363
                   2.224                     -0.17561978
               2.2320001                     -0.17646898
                    2.24                     -0.17716596
               2.2479999                     -0.17771816
                   2.256                     -0.17813443
               2.2639999                     -0.17842619
               2.2720001                     -0.17860401
                    2.28                     -0.17868297
               2.2880001                     -0.17867711
                   2.296                     -0.17860145
               2.3039999                     -0.17847313
                   2.312                     -0.17830872
               2.3199999                     -0.17812447
               2.3280001                     -0.17793826
                   2.336                     -0.17776749
               2.3440001                     -0.17762916
                   2.352                     -0.17753861
               2.3599999                     -0.17751221
                   2.368                     -0.17756362
               2.3759999                     -0.17770701
               2.3840001                     -0.17795587
                   2.392                     -0.17831826
               2.4000001                     -0.17880557
                   2.408                     -0.17942684
               2.4159999                     -0.18018578
                   2.424                     -0.18108937
               2.4319999                     -0.18213941
               2.4400001                     -0.18333721
                   2.448                     -0.18468174
               2.4560001                     -0.18617067
                   2.464                     -0.18780106
               2.4719999                      -0.1895673
                    2.48                     -0.19146106
               2.4879999                     -0.19347515
               2.4960001                     -0.19559862
               2.5039999                     -0.19782128
               2.5120001                     -0.20013066
                    2.52                     -0.20251479
               2.5280001                     -0.20495975
                   2.536                     -0.20745088
               2.5439999                     -0.20997424
                   2.552                     -0.21251555
               2.5599999                     -0.21505957
               2.5680001                     -0.21759262
                   2.576                     -0.22009997
               2.5840001                     -0.22256872
                   2.592                     -0.22498546
               2.5999999                     -0.22733904
                   2.608                      -0.2296178
               2.6159999                     -0.23181229
               2.6240001                     -0.23391315
                   2.632                     -0.23591296
               2.6400001                     -0.23780721
                   2.648                     -0.23958985
               2.6559999                     -0.24125891
                   2.664                     -0.24281242
               2.6719999                      -0.2442506
               2.6800001                     -0.24557476
                   2.688                     -0.24678761
               2.6960001                     -0.24789477
                   2.704                      -0.2489014
               2.7119999                     -0.24981464
                    2.72                     -0.25064293
               2.7279999                     -0.25139435
