        Frequency / GHz                S2,1 (eps_r=8)/abs,dB
----------------------------------------------------------------------
                       2                     -0.18098744
               2.0079999                     -0.18322534
                   2.016                     -0.18389603
               2.0239999                     -0.18306435
               2.0320001                     -0.18089961
                    2.04                     -0.17765581
               2.0480001                     -0.17365744
                   2.056                     -0.16927575
               2.0639999                     -0.16490286
                   2.072                     -0.16092697
               2.0799999                     -0.15770801
               2.0880001                     -0.15555155
                   2.096                     -0.15469194
               2.1040001                     -0.15528249
                   2.112                     -0.15737883
               2.1199999                     -0.16094078
                   2.128                     -0.16583773
               2.1359999                      -0.1718529
               2.1440001                     -0.17870095
                   2.152                     -0.18604472
               2.1600001                     -0.19351751
                   2.168                     -0.20074779
               2.1760001                     -0.20738148
                   2.184                     -0.21311084
               2.1919999                     -0.21768618
                     2.2                     -0.22094014
               2.2079999                     -0.22279387
               2.2160001                     -0.22326657
                   2.224                     -0.22246863
               2.2320001                     -0.22059596
                    2.24                     -0.21791569
               2.2479999                     -0.21474818
                   2.256                     -0.21144377
               2.2639999                     -0.20836028
               2.2720001                     -0.20584013
                    2.28                      -0.2041878
               2.2880001                     -0.20364956
                   2.296                     -0.20440203
               2.3039999                     -0.20653706
                   2.312                     -0.21005998
               2.3199999                     -0.21488811
               2.3280001                     -0.22085674
                   2.336                     -0.22772993
               2.3440001                     -0.23521675
                   2.352                     -0.24298798
               2.3599999                     -0.25069849
                   2.368                     -0.25800987
               2.3759999                     -0.26461348
               2.3840001                     -0.27024966
                   2.392                     -0.27472794
               2.4000001                     -0.27793427
                   2.408                     -0.27984492
               2.4159999                     -0.28052463
                   2.424                     -0.28012134
               2.4319999                     -0.27885829
               2.4400001                     -0.27701683
                   2.448                     -0.27491882
               2.4560001                      -0.2729016
                   2.464                     -0.27130271
               2.4719999                     -0.27042879
                    2.48                     -0.27054688
               2.4879999                     -0.27185812
               2.4960001                     -0.27449134
               2.5039999                     -0.27849235
               2.5120001                      -0.2838228
                    2.52                     -0.29036193
               2.5280001                     -0.29791565
                   2.536                     -0.30622781
               2.5439999                     -0.31499494
                   2.552                     -0.32388979
               2.5599999                     -0.33257871
               2.5680001                     -0.34074517
                   2.576                     -0.34811301
               2.5840001                     -0.35446175
                   2.592                     -0.35964408
               2.5999999                     -0.36359549
                   2.608                     -0.36633727
               2.6159999                     -0.36797988
               2.6240001                     -0.36871074
                   2.632                      -0.3687835
