        Frequency / GHz                S2,1 (eps_r=3)/abs,dB
----------------------------------------------------------------------
                       2                     -0.12612182
               2.0079999                     -0.12939073
                   2.016                     -0.13295151
               2.0239999                     -0.13673325
               2.0320001                     -0.14065986
                    2.04                     -0.14465266
               2.0480001                     -0.14863451
                   2.056                     -0.15252686
               2.0639999                     -0.15625584
                   2.072                     -0.15975414
               2.0799999                     -0.16295909
               2.0880001                     -0.16582013
                   2.096                     -0.16829275
               2.1040001                     -0.17034732
                   2.112                     -0.17196445
               2.1199999                     -0.17313514
                   2.128                     -0.17386523
               2.1359999                     -0.17417163
               2.1440001                     -0.17408164
                   2.152                     -0.17363406
               2.1600001                     -0.17287719
                   2.168                     -0.17186548
               2.1760001                     -0.17066146
                   2.184                     -0.16933104
               2.1919999                     -0.16794167
                     2.2                     -0.16656522
               2.2079999                     -0.16526822
               2.2160001                     -0.16411738
                   2.224                     -0.16317465
               2.2320001                     -0.16249353
                    2.24                     -0.16212258
               2.2479999                      -0.1621013
                   2.256                     -0.16246038
               2.2639999                      -0.1632186
               2.2720001                     -0.16438666
                    2.28                     -0.16596305
               2.2880001                     -0.16793634
                   2.296                     -0.17028526
               2.3039999                     -0.17297984
                   2.312                     -0.17598062
               2.3199999                     -0.17924202
               2.3280001                     -0.18271154
                   2.336                     -0.18633135
               2.3440001                     -0.19004262
                   2.352                     -0.19378226
               2.3599999                     -0.19748973
                   2.368                     -0.20110494
               2.3759999                     -0.20457159
               2.3840001                     -0.20783686
                   2.392                     -0.21085543
               2.4000001                     -0.21358964
                   2.408                     -0.21600681
               2.4159999                     -0.21808778
                   2.424                     -0.21982027
               2.4319999                     -0.22120106
               2.4400001                     -0.22223737
                   2.448                       -0.222947
               2.4560001                     -0.22335345
                   2.464                     -0.22349252
               2.4719999                     -0.22340318
                    2.48                     -0.22313148
               2.4879999                     -0.22272982
               2.4960001                     -0.22225039
               2.5039999                     -0.22175011
               2.5120001                      -0.2212855
                    2.52                     -0.22091022
               2.5280001                     -0.22067785
                   2.536                     -0.22063527
               2.5439999                     -0.22082659
                   2.552                     -0.22128778
               2.5599999                     -0.22204911
               2.5680001                     -0.22313248
                   2.576                      -0.2245513
               2.5840001                     -0.22631085
                   2.592                       -0.228408
               2.5999999                      -0.2308306
                   2.608                     -0.23355805
               2.6159999                     -0.23656354
               2.6240001                     -0.23981356
                   2.632                     -0.24326712
               2.6400001                     -0.24688007
                   2.648                     -0.25060453
               2.6559999                     -0.25438966
                   2.664                     -0.25818467
               2.6719999                     -0.26193796
               2.6800001                     -0.26560135
                   2.688                     -0.26912718
               2.6960001                     -0.27247645
                   2.704                      -0.2756105
               2.7119999                     -0.27849897
                    2.72                     -0.28111998
               2.7279999                     -0.28345747
               2.7360001                     -0.28550457
                   2.744                     -0.28726057
               2.7520001                     -0.28873487
                    2.76                     -0.28994417
               2.7679999                     -0.29091183
                   2.776                      -0.2916681
               2.7839999                     -0.29224875
               2.7920001                     -0.29269521
                     2.8                     -0.29305132
               2.8080001                     -0.29336491
                   2.816                     -0.29368362
               2.8239999                     -0.29405474
                   2.832                     -0.29452658
               2.8399999                     -0.29514144
                   2.848                     -0.29594264
               2.8559999                     -0.29696395
               2.8640001                     -0.29823625
                   2.872                     -0.29978349
               2.8800001                     -0.30162432
                   2.888                     -0.30376736
               2.8959999                     -0.30621632
                   2.904                     -0.30896542
               2.9119999                     -0.31200337
               2.9200001                     -0.31531019
                   2.928                     -0.31886076
               2.9360001                     -0.32262394
                   2.944                     -0.32656451
               2.9519999                     -0.33064048
                    2.96                     -0.33481015
               2.9679999                     -0.33902926
               2.9760001                     -0.34325133
                   2.984                     -0.34743196
               2.9920001                     -0.35153022
                       3                     -0.35550403
               3.0079999                     -0.35931726
                   3.016                     -0.36294037
               3.0239999                     -0.36634833
               3.0320001                     -0.36952176
                    3.04                     -0.37244778
               3.0480001                     -0.37512309
                   3.056                     -0.37754957
               3.0639999                     -0.37973807
                   3.072                     -0.38170499
               3.0799999                     -0.38347363
               3.0880001                     -0.38507329
                   3.096                     -0.38653847
               3.1040001                     -0.38790889
                   3.112                     -0.38922495
               3.1199999                     -0.39053141
                   3.128                     -0.39187318
               3.1359999                     -0.39329484
               3.1440001                     -0.39483964
                   3.152                     -0.39654888
               3.1600001                     -0.39845999
                   3.168                     -0.40060648
               3.1760001                     -0.40301561
                   3.184                     -0.40570988
               3.1919999                     -0.40870459
                     3.2                     -0.41200875
               3.2079999                     -0.41562501
               3.2160001                     -0.41954699
                   3.224                     -0.42376394
               3.2320001                     -0.42825786
                    3.24                     -0.43300308
               3.2479999                     -0.43797102
                   3.256                     -0.44312717
               3.2639999                     -0.44843394
               3.2720001                     -0.45385247
                    3.28                     -0.45933778
               3.2880001                     -0.46485081
                   3.296                     -0.47034866
               3.3039999                     -0.47579194
                   3.312                     -0.48114349
               3.3199999                     -0.48637216
               3.3280001                     -0.49144986
                   3.336                     -0.49635391
               3.3440001                     -0.50106936
                   3.352                     -0.50558757
               3.3599999                     -0.50990621
                   3.368                     -0.51403123
               3.3759999                     -0.51797662
               3.3840001                     -0.52176036
                   3.392                     -0.52541043
               3.4000001                     -0.52895872
                   3.408                     -0.53244226
               3.4159999                     -0.53590314
                   3.424                     -0.53938585
               3.4319999                     -0.54293802
               3.4400001                     -0.54660779
                   3.448                     -0.55044406
               3.4560001                     -0.55449249
                   3.464                     -0.55879862
               3.4719999                     -0.56340422
                    3.48                     -0.56834459
               3.4879999                      -0.5736527
               3.4960001                     -0.57935606
               3.5039999                     -0.58547168
               3.5120001                     -0.59201389
                    3.52                     -0.59898954
               3.5280001                     -0.60639691
                   3.536                     -0.61422827
               3.5439999                     -0.62246835
                   3.552                     -0.63109872
               3.5599999                     -0.64009274
               3.5680001                     -0.64942041
                   3.576                     -0.65904848
               3.5840001                     -0.66893977
                   3.592                      -0.6790581
               3.5999999                     -0.68936455
                   3.608                     -0.69982373
               3.6159999                     -0.71039985
               3.6240001                     -0.72106308
                   3.632                     -0.73178771
               3.6400001                     -0.74255246
                   3.648                     -0.75334385
               3.6559999                     -0.76415667
                   3.664                     -0.77499016
               3.6719999                     -0.78585678
               3.6800001                     -0.79677526
                   3.688                     -0.80777286
               3.6960001                     -0.81888502
                   3.704                     -0.83015573
               3.7119999                     -0.84163975
                    3.72                     -0.85339421
               3.7279999                     -0.86548399
               3.7360001                     -0.87798033
                   3.744                     -0.89095562
               3.7520001                     -0.90448785
                    3.76                     -0.91865489
               3.7679999                     -0.93353544
                   3.776                     -0.94920615
               3.7839999                      -0.9657442
               3.7920001                     -0.98322161
                     3.8                      -1.0017062
               3.8080001                      -1.0212636
                   3.816                      -1.0419509
               3.8239999                      -1.0638226
                   3.832                      -1.0869239
               3.8399999                      -1.1112972
                   3.848                      -1.1369776
               3.8559999                       -1.163994
               3.8640001                       -1.192372
                   3.872                      -1.2221341
               3.8800001                      -1.2532983
                   3.888                      -1.2858818
               3.8959999                      -1.3199014
                   3.904                      -1.3553769
               3.9119999                       -1.392331
               3.9200001                      -1.4307907
                   3.928                      -1.4707909
               3.9360001                      -1.5123764
                   3.944                      -1.5556017
               3.9519999                      -1.6005344
                    3.96                      -1.6472584
               3.9679999                      -1.6958721
               3.9760001                      -1.7464945
                   3.984                      -1.7992617
               3.9920001                      -1.8543325
                       4                      -1.9118878
               4.0079999                      -1.9721289
               4.0159998                      -2.0352833
               4.0240002                       -2.101603
               4.0320001                      -2.1713589
                    4.04                      -2.2448538
               4.0479999                      -2.3224087
               4.0560002                      -2.4043725
               4.0640001                      -2.4911169
                   4.072                      -2.5830365
               4.0799999                      -2.6805533
               4.0879998                        -2.78411
               4.0960002                      -2.8941732
               4.1040001                      -3.0112389
                   4.112                      -3.1358227
               4.1199999                      -3.2684694
               4.1279998                      -3.4097534
               4.1360002                      -3.5602737
               4.1440001                      -3.7206662
                   4.152                      -3.8916012
               4.1599998                      -4.0737879
               4.1680002                      -4.2679816
               4.1760001                      -4.4749851
                   4.184                      -4.6956633
               4.1919999                      -4.9309434
               4.1999998                      -5.1818323
               4.2080002                      -5.4494266
               4.2160001                      -5.7349321
                   4.224                      -6.0396735
               4.2319999                      -6.3651294
               4.2399998                       -6.712953
               4.2480001                      -7.0850135
                   4.256                      -7.4834344
               4.2639999                      -7.9106575
               4.2719998                      -8.3695106
               4.2800002                      -8.8633026
